label,mae,mean_counts,mape
Oelegem - Antitankgracht,64.65625964466956,160.5,40.3
Oelegem - Antitankgracht,64.65625964466956,,
Bilzen/Zutendaal F72 Munsterbos,69.60670717137516,203.2,34.3
Bilzen/Zutendaal F72 Munsterbos,69.60670717137516,,
Deinze - Damstraat,70.07567119832511,326.3,21.5
Deinze - Damstraat,70.07567119832511,,
Asse F212 Brusselsesteenweg,70.11599595428397,,
Asse F212 Brusselsesteenweg,70.11599595428397,341.5,20.5
Sint-Martens-Voeren - Ottegraeven,70.27697469352965,,
Sint-Martens-Voeren - Ottegraeven,70.27697469352965,40.9,171.9
Lo-Reninge - Fintele,71.19053216275985,193.8,36.7
Lo-Reninge - Fintele,71.19053216275985,,
Peer - Baan naar Bree (Noord),71.29060204341857,217.1,32.8
Peer - Baan naar Bree (Noord),71.29060204341857,,
Tienen - Kabbeekvest,71.48399607146854,406.5,17.6
Tienen - Kabbeekvest,71.48399607146854,,
Brugge F31 Zeveneken,72.03297675407696,,
Brugge F31 Zeveneken,72.03297675407696,349.1,20.6
Heist op den Berg - Mechelsesteenweg (Zuid),72.29182457211083,321.4,22.5
Heist op den Berg - Mechelsesteenweg (Zuid),72.29182457211083,,
Kampenhout  - Sas (West),72.42582620968548,,
Kampenhout  - Sas (West),72.42582620968548,355.6,20.4
Machelen F214 einde Leuvensesteenweg,72.42859069056445,,
Machelen F214 einde Leuvensesteenweg,72.42859069056445,388.2,18.7
Linter F21 naar Zoutleeuw,73.46525534545843,,
Linter F21 naar Zoutleeuw,73.46525534545843,257.0,28.6
Ronse F421 Station,73.9404859828316,,
Ronse F421 Station,73.9404859828316,318.7,23.2
Lier - Aarschotsesteenweg (Noord),74.1071196868747,305.5,24.3
Lier - Aarschotsesteenweg (Noord),74.1071196868747,,
Retie - Turnhoutsebaan (Oost),74.22199024839544,368.4,20.1
Retie - Turnhoutsebaan (Oost),74.22199024839544,,
Kruisem - Lange Aststraat,74.24100021061396,164.1,45.2
Kruisem - Lange Aststraat,74.24100021061396,,
Hoogstraten - Lodewijk de Konincklaan,74.9921036022844,,
Hoogstraten - Lodewijk de Konincklaan,74.9921036022844,381.7,19.6
Brugge - Dudzeelse Steenweg (Oost),76.68941595387481,428.6,17.9
Brugge - Dudzeelse Steenweg (Oost),76.68941595387481,,
Tremelo - Sven Nys Cycling Center,77.7387719628249,,
Tremelo - Sven Nys Cycling Center,77.7387719628249,209.0,37.2
Genk F76 Brikkenovenstraat,78.20291098550035,,
Genk F76 Brikkenovenstraat,78.20291098550035,342.7,22.8
Retie - Kanaal Dessel-Schoten,78.40092677860065,,
Retie - Kanaal Dessel-Schoten,78.40092677860065,278.0,28.2
Langemark F351 Vrijbosroute,78.75370742253327,237.7,33.1
Langemark F351 Vrijbosroute,78.75370742253327,,
Kortrijk - Pottelberg (West),78.79746603114643,362.2,21.8
Kortrijk - Pottelberg (West),78.79746603114643,,
Retie - Turnhoutsebaan (West),79.03881769139011,,
Retie - Turnhoutsebaan (West),79.03881769139011,371.1,21.3
Riemst F722 Trekweg Cavei,79.23091631847264,,
Riemst F722 Trekweg Cavei,79.23091631847264,233.6,33.9
Westerlo - de Merodedreef (West),79.69496778319224,,
Westerlo - de Merodedreef (West),79.69496778319224,274.8,29.0
Brakel - Zwalmbeekweg,79.75433973494061,,
Brakel - Zwalmbeekweg,79.75433973494061,287.9,27.7
Bilzen - Tongersestraat,79.845724343482,272.7,29.3
Bilzen - Tongersestraat,79.845724343482,,
Hamme F43 Rijksweg 60,80.527477041028,,
Hamme F43 Rijksweg 60,80.527477041028,455.6,17.7
Geel - Snelwegstraat (West),80.98283089925452,486.9,16.6
Geel - Snelwegstraat (West),80.98283089925452,,
Aalst - Fietspad Merestraat (Noord),81.9442921379985,305.9,26.8
Aalst - Fietspad Merestraat (Noord),81.9442921379985,,
Kampenhout  - Sas (Oost),82.02221984063863,344.9,23.8
Kampenhout  - Sas (Oost),82.02221984063863,,
Heist op den Berg - Mechelsesteenweg (Noord),82.83440056833203,,
Heist op den Berg - Mechelsesteenweg (Noord),82.83440056833203,386.6,21.4
Hasselt F701 Tuikabelbrug,83.53655748134923,,
Hasselt F701 Tuikabelbrug,83.53655748134923,366.7,22.8
Wervik F372 Menenstraat (Noord),84.528890887547,,
